church,date,total_attendance,men,women,youth,children,salvations,baptisms,home_visits,meals_food_packs,preschool_attendance
Bulunga,2021-11-07,41,0,2,6,33,0,0,0,0,0
Bulunga,2021-11-14,4,1,1,2,0,0,0,0,0,0
Bulunga,2021-11-21,14,1,1,2,10,0,0,0,0,0
Bulunga,2021-11-28,16,1,2,6,7,0,0,0,12,0
Bulunga,2021-12-05,18,1,2,5,10,5,0,2,0,0
Bulunga,2021-12-12,23,1,1,11,10,10,0,0,15,0
Bulunga,2021-12-19,38,1,3,9,25,12,0,0,5,0
Bulunga,2021-12-26,21,1,1,9,10,12,0,0,15,0
Bulunga,2022-01-01,47,3,4,11,29,1,0,4,21,0
Bulunga,2022-01-02,14,1,1,3,9,1,0,0,20,0
Bulunga,2022-01-08,28,1,3,4,20,0,0,0,5,0
Bulunga,2022-01-09,13,1,1,4,7,0,0,0,3,0
Bulunga,2022-01-15,26,1,2,7,16,0,0,5,3,0
Bulunga,2022-01-16,21,2,2,5,12,0,0,0,14,0
Bulunga,2022-01-22,32,1,2,16,13,11,0,7,7,0
Bulunga,2022-01-23,19,1,2,5,11,2,0,0,9,0
Bulunga,2022-01-29,22,1,1,7,13,0,0,0,224,0
Bulunga,2022-01-30,13,1,2,5,5,4,0,0,4,0
Bulunga,2022-02-05,22,1,2,7,12,0,0,6,416,39
Bulunga,2022-02-06,33,1,4,6,22,0,0,0,0,0
Bulunga,2022-02-12,23,1,2,7,13,0,0,5,160,0
Bulunga,2022-02-13,22,1,3,5,13,0,0,0,4,21
Bulunga,2022-02-19,16,1,2,4,9,0,0,0,192,39
Bulunga,2022-02-20,32,2,4,5,21,0,0,0,0,6
Bulunga,2022-02-26,24,1,1,9,13,0,0,4,744,39
Bulunga,2022-02-27,28,2,3,9,14,0,0,0,11,0
Bulunga,2022-03-05,29,1,4,13,11,0,0,3,448,39
Bulunga,2022-03-06,25,1,2,5,17,0,0,0,13,22
Bulunga,2022-03-12,26,2,3,8,13,3,0,1,15,39
Bulunga,2022-03-13,33,1,6,8,18,0,0,0,0,22
Bulunga,2022-03-19,40,1,2,14,23,0,0,2,144,34
Bulunga,2022-03-20,28,1,3,4,20,0,0,0,5,22
Bulunga,2022-03-26,53,2,4,12,35,6,0,5,216,35
Bulunga,2022-03-27,22,1,2,6,13,3,0,0,13,22
Bulunga,2022-04-02,33,1,3,9,20,0,0,2,72,36
Bulunga,2022-04-03,23,1,2,11,9,7,0,0,15,22
Bulunga,2022-04-10,26,1,3,7,15,0,0,0,2,22
Bulunga,2022-04-16,23,3,2,4,14,0,2,4,0,0
Bulunga,2022-04-23,38,2,3,9,24,5,0,5,216,0
Bulunga,2022-04-24,33,1,4,6,22,0,0,0,12,22
Bulunga,2022-04-30,34,2,3,9,20,0,0,3,180,0
Bulunga,2022-05-01,16,1,1,3,11,0,0,0,14,0
Bulunga,2022-05-08,44,1,2,11,30,0,0,0,0,0
Bulunga,2022-05-15,33,1,3,12,17,0,0,0,1,0
Bulunga,2022-05-22,26,1,2,10,13,0,0,0,3,0
Bulunga,2022-05-29,38,1,0,13,24,4,0,0,9,0
Bulunga,2022-06-05,23,1,3,9,10,0,0,0,12,0
Bulunga,2022-06-12,41,1,1,10,29,10,0,0,7,0
Bulunga,2022-06-19,30,1,2,11,16,0,0,0,10,0
Bulunga,2022-07-02,33,1,2,6,24,0,0,2,108,38
Bulunga,2022-07-03,30,1,1,14,14,0,0,0,15,0
Bulunga,2022-07-09,32,2,5,8,17,0,0,3,144,0
Bulunga,2022-07-10,41,1,4,12,24,18,0,0,15,0
Bulunga,2022-07-16,31,2,2,6,21,5,0,2,540,37
Bulunga,2022-07-17,28,1,1,8,18,10,0,0,7,0
Bulunga,2022-07-23,50,2,5,8,35,0,0,3,108,35
Bulunga,2022-07-24,12,1,1,1,9,0,0,0,10,0
Bulunga,2022-07-30,31,1,2,6,22,4,0,0,72,0
Bulunga,2022-07-31,20,1,0,5,14,0,0,0,13,0
Bulunga,2022-08-06,31,2,2,6,21,5,0,2,540,37
Bulunga,2022-08-07,30,1,2,8,19,0,0,0,15,0
Bulunga,2022-08-13,50,2,5,8,35,0,0,3,7,0
Bulunga,2022-08-14,33,1,1,7,24,0,0,0,9,0
Bulunga,2022-08-20,70,2,15,8,45,3,0,0,180,0
Bulunga,2022-08-21,42,1,1,9,31,0,0,3,12,0
Bulunga,2022-08-27,48,2,3,7,36,6,0,5,540,0
Bulunga,2022-08-28,39,2,2,13,22,2,0,2,15,0
Bulunga,2022-09-04,20,1,2,5,12,0,0,0,0,0
Bulunga,2022-09-11,51,1,2,16,32,0,0,0,0,0
Bulunga,2022-09-18,26,1,1,10,14,0,0,0,0,0
Bulunga,2022-09-25,31,1,5,8,17,0,0,0,3,34
Bulunga,2022-10-02,31,6,6,8,11,0,0,0,6,10
Bulunga,2022-10-09,20,1,1,8,10,4,0,2,9,12
Bulunga,2022-10-16,20,1,1,2,16,0,0,4,9,0
Bulunga,2022-10-23,23,1,2,6,14,0,0,2,13,0
Bulunga,2022-10-30,29,1,2,11,15,10,0,2,4,16
Bulunga,2022-11-06,34,1,1,14,18,9,0,0,10,0
Bulunga,2022-11-13,31,1,1,16,13,24,0,3,12,0
Bulunga,2022-11-20,32,1,3,16,12,0,0,0,14,0
Bulunga,2022-11-27,18,1,1,12,4,10,0,3,15,0
Bulunga,2022-12-04,24,1,1,9,13,0,0,4,2,0
Bulunga,2022-12-11,36,1,2,14,19,9,0,4,8,0
Bulunga,2022-12-18,18,1,1,6,10,1,0,2,12,0
Bulunga,2022-12-25,37,5,2,10,20,0,0,0,0,0
Bulunga,2023-01-01,47,3,4,11,29,1,0,4,21,0
Bulunga,2023-01-08,28,1,3,4,20,0,0,0,5,0
Bulunga,2023-01-15,26,1,2,7,16,0,0,5,3,0
Bulunga,2023-01-22,32,1,2,16,13,11,0,7,7,0
Bulunga,2023-01-29,22,1,1,7,13,0,0,0,224,0
Bulunga,2023-02-05,22,1,2,7,12,0,0,6,416,39
Bulunga,2023-02-12,23,1,2,7,13,0,0,5,160,0
Bulunga,2023-02-19,16,1,2,4,9,0,0,0,192,39
Bulunga,2023-02-26,24,1,1,9,13,0,0,4,744,39
Bulunga,2023-03-05,29,1,4,13,11,0,0,3,448,39
Bulunga,2023-03-12,26,2,3,8,13,3,0,1,15,39
Bulunga,2023-03-19,40,1,2,14,23,0,0,2,144,34
Bulunga,2023-03-26,53,2,4,12,35,6,0,5,216,35
Bulunga,2023-04-02,33,1,3,9,20,0,0,2,72,36
Bulunga,2023-04-16,23,3,2,4,14,0,2,4,0,0
Bulunga,2023-04-23,38,2,3,9,24,5,0,5,216,0
Bulunga,2023-04-30,34,2,3,9,20,0,0,3,180,0
Bulunga,2023-05-07,26,2,2,9,13,0,0,3,108,31
Bulunga,2023-05-14,20,1,2,4,13,0,0,5,36,34
Bulunga,2023-05-21,34,2,3,4,25,0,0,3,216,36
Bulunga,2023-05-28,19,1,2,6,10,0,0,2,60,37
Bulunga,2023-06-04,35,3,2,8,22,4,0,3,72,39
Bulunga,2023-06-11,49,3,4,0,42,0,0,0,108,30
Bulunga,2023-06-18,38,2,3,9,24,0,0,4,288,45
Bulunga,2023-06-25,33,2,2,5,24,0,0,3,144,32
Bulunga,2023-07-02,33,1,2,6,24,0,0,2,108,38
Bulunga,2023-07-09,32,2,5,8,17,0,0,3,144,0
Bulunga,2023-07-16,33,1,4,10,18,0,0,4,180,34
Bulunga,2023-07-23,50,2,5,8,35,0,0,3,108,35
Bulunga,2023-07-30,31,1,2,6,22,4,0,0,72,0
Bulunga,2023-08-06,31,2,2,6,21,5,0,2,540,37
Bulunga,2023-08-13,50,2,5,8,35,0,0,3,7,0
Bulunga,2023-08-20,70,2,15,8,45,3,0,0,180,0
Bulunga,2023-08-27,48,2,3,7,36,6,0,5,540,0
Bulunga,2023-09-03,35,2,4,10,19,0,0,4,0,0
Bulunga,2023-09-10,38,2,2,12,22,0,0,5,180,0
Bulunga,2023-09-17,20,1,3,7,9,0,0,5,180,0
Bulunga,2023-09-24,34,1,4,9,20,0,0,5,180,0
Bulunga,2023-10-01,31,2,3,4,22,0,0,3,540,36
Bulunga,2023-10-08,22,1,1,6,14,0,0,5,180,34
Bulunga,2023-10-15,35,2,2,6,25,0,0,4,288,37
Bulunga,2023-10-22,23,1,1,7,14,0,0,6,72,33
Bulunga,2023-10-29,22,1,4,7,10,4,0,8,216,40
Bulunga,2023-11-05,14,1,4,9,0,0,0,6,216,38
Bulunga,2023-11-12,33,1,5,10,17,0,0,9,216,37
Bulunga,2023-11-19,50,1,5,19,25,0,0,8,0,35
Bulunga,2023-11-26,29,1,2,11,15,0,0,5,0,34
Bulunga,2023-12-03,25,1,1,10,13,0,0,8,288,0
Bulunga,2023-12-10,39,1,2,13,23,0,0,8,144,0
Bulunga,2023-12-17,43,1,4,15,23,0,0,7,108,0
Bulunga,2023-12-24,40,1,4,12,23,0,0,5,0,0
Bulunga,2023-12-31,37,1,4,9,23,0,0,4,0,0
Bulunga,2024-01-07,32,3,4,8,17,3,0,7,0,0
Bulunga,2024-01-14,51,1,5,12,33,0,0,6,216,0
Bulunga,2024-01-21,16,2,2,8,4,0,0,4,144,0
Bulunga,2024-01-28,30,2,3,13,12,0,0,7,180,0
Bulunga,2024-02-02,36,2,2,18,14,6,0,0,0,0
Bulunga,2024-02-04,37,2,2,15,18,5,0,5,0,0
Bulunga,2024-02-09,26,2,2,10,12,0,0,0,0,0
Bulunga,2024-02-11,38,2,4,9,23,4,0,4,180,0
Bulunga,2024-02-16,30,2,2,12,14,3,0,6,96,0
Bulunga,2024-02-18,25,2,3,11,9,0,0,0,0,0
Bulunga,2024-02-25,26,2,2,16,6,0,0,7,180,0
Bulunga,2024-03-03,23,2,2,12,7,4,0,8,0,0
Bulunga,2024-03-10,34,1,1,18,14,0,0,8,0,24
Bulunga,2024-03-17,30,1,2,14,13,13,0,9,144,20
Bulunga,2024-03-24,18,1,1,9,7,0,0,5,144,18
Bulunga,2024-03-31,17,2,2,9,4,3,0,4,72,24
Bulunga,2024-04-07,19,2,2,8,7,3,0,8,0,20
Bulunga,2024-04-14,41,2,6,14,19,4,0,6,72,22
Bulunga,2024-04-21,37,2,3,15,17,0,0,9,0,0
Bulunga,2024-04-28,60,1,6,28,25,10,0,3,0,0
Bulunga,2024-05-05,29,2,4,13,10,0,0,8,0,0
Bulunga,2024-05-12,33,2,4,17,10,0,0,8,0,0
Bulunga,2024-05-19,44,2,5,15,22,0,0,10,180,0
Bulunga,2024-05-26,34,1,2,11,20,7,0,8,180,0
Bulunga,2024-06-02,33,2,4,15,12,4,0,4,0,0
Bulunga,2024-06-09,33,2,2,12,17,0,0,5,0,0
Bulunga,2024-06-16,31,2,2,10,17,0,0,10,0,18
Bulunga,2024-06-23,25,2,2,5,16,0,0,5,216,18
Bulunga,2024-06-30,33,2,2,9,20,0,0,8,360,20
Bulunga,2024-07-07,36,2,2,14,18,10,0,6,360,24
Bulunga,2024-07-14,32,2,2,8,20,0,0,8,324,20
Bulunga,2024-07-21,45,2,3,18,22,5,0,7,144,0
Bulunga,2024-07-28,44,2,2,15,25,0,0,6,144,0
Bulunga,2024-08-04,38,2,2,19,15,0,0,4,0,0
Bulunga,2024-08-11,33,1,1,17,14,0,0,6,0,0
Bulunga,2024-08-18,33,2,3,10,18,0,0,10,288,0
Bulunga,2024-08-25,38,2,2,19,15,6,0,7,432,0
Bulunga,2024-09-01,50,4,8,15,23,15,0,8,0,0
Bulunga,2024-09-08,45,2,5,19,19,0,0,9,0,0
Bulunga,2024-09-15,47,2,2,20,23,0,0,6,0,0
Bulunga,2024-09-22,27,2,2,9,14,0,0,4,0,0
Bulunga,2024-09-29,36,1,3,16,16,0,0,6,0,0
Bulunga,2024-10-06,32,2,2,15,13,0,0,3,0,0
Bulunga,2024-10-13,28,2,2,10,14,0,0,4,0,0
Bulunga,2024-10-20,35,2,2,13,18,0,0,6,0,0
Bulunga,2024-10-27,36,2,2,16,16,0,0,5,320,0
Bulunga,2024-11-03,34,2,2,17,13,0,0,0,0,0
Bulunga,2024-11-10,44,2,2,17,23,0,0,8,0,0
Bulunga,2024-11-17,32,2,3,16,11,0,0,8,0,0
Bulunga,2024-11-24,35,2,2,10,21,5,0,6,256,0
Bulunga,2024-12-01,35,2,2,10,21,5,0,6,256,0
Bulunga,2024-12-08,34,2,2,11,19,5,0,5,256,0
Bulunga,2024-12-15,25,2,2,9,12,4,0,6,128,0
Bulunga,2024-12-22,25,2,2,8,13,0,0,8,192,0
Bulunga,2024-12-29,23,2,2,7,12,5,0,3,0,0
Bulunga,2025-01-05,26,1,1,8,16,3,0,4,0,0
Bulunga,2025-01-12,17,1,1,9,6,0,0,4,96,0
Bulunga,2025-01-19,34,2,2,11,19,0,0,10,224,0
Bulunga,2025-01-26,33,2,3,16,12,10,0,6,0,0
Bulunga,2025-02-02,36,2,2,18,14,6,0,0,0,0
Bulunga,2025-02-09,26,2,2,10,12,0,0,0,0,0
Bulunga,2025-02-16,30,2,2,12,14,3,0,6,96,0
Bulunga,2025-02-23,27,1,1,10,15,0,0,2,160,0
Bulunga,2025-03-02,25,2,2,8,13,0,0,7,64,0
Bulunga,2025-03-09,22,1,0,8,13,0,0,5,0,0
Bulunga,2025-03-16,30,2,2,11,15,0,0,4,192,0
Bulunga,2025-03-23,19,2,2,7,8,6,0,5,128,0
Bulunga,2025-03-30,18,2,2,9,5,0,0,4,216,0
Bulunga,2025-04-06,18,2,2,8,6,0,0,3,0,0
Bulunga,2025-04-13,20,2,2,6,10,6,0,6,144,0
Bulunga,2025-04-20,48,4,6,15,23,6,3,0,216,0
Bulunga,2025-04-27,21,2,2,9,8,0,0,4,0,0
Bulunga,2025-05-04,28,2,2,9,15,0,0,4,0,0
Bulunga,2025-05-11,20,2,3,8,7,0,0,5,144,0
Bulunga,2025-05-18,26,2,2,12,10,0,0,5,144,0
Bulunga,2025-05-25,16,3,3,7,3,0,0,5,72,0
Bulunga,2025-06-01,26,1,2,10,13,3,0,4,0,0
Bulunga,2025-06-08,35,3,4,15,13,0,0,5,0,0
Bulunga,2025-06-15,24,2,3,10,9,0,0,4,108,0
Bulunga,2025-06-22,12,2,1,4,5,0,0,6,108,0
Bulunga,2025-06-29,26,2,2,12,10,0,0,5,144,0
Bulunga,2025-07-06,19,2,2,9,6,6,0,3,0,0
Bulunga,2025-07-13,32,2,3,9,18,4,0,0,144,0
Bulunga,2025-07-20,14,2,2,6,4,0,0,4,144,0
Bulunga,2025-07-27,21,2,4,9,6,0,0,3,144,0
Bulunga,2025-08-03,36,5,8,7,16,4,0,2,0,0
Bulunga,2025-08-10,19,2,2,10,5,0,0,5,0,0
Bulunga,2025-08-18,40,2,4,17,17,0,0,4,108,0
Bulunga,2025-08-24,23,2,2,10,9,3,0,7,144,0
Bulunga,2025-08-31,27,2,3,10,12,7,0,6,144,0
Bulunga,2025-09-07,17,2,2,7,6,4,0,4,0,0
Bulunga,2025-09-14,27,3,3,13,8,0,0,5,180,0
Bulunga,2025-09-21,32,2,3,17,10,0,0,7,216,0
Bulunga,2025-09-28,27,2,2,13,10,5,0,4,360,0
Bulunga,2025-10-05,37,3,3,17,14,0,0,7,180,0
Bulunga,2025-10-12,31,2,3,9,17,6,0,6,0,0
Bulunga,2025-10-19,15,2,2,4,7,0,0,4,0,0
Bulunga,2025-10-26,37,2,3,17,15,5,0,6,0,0
Bulunga,2025-11-02,9,1,1,4,3,0,0,5,0,0
Bulunga,2025-11-09,15,2,2,5,6,0,0,6,0,0
Bulunga,2025-11-16,15,2,2,7,4,0,0,4,0,0
Bulunga,2025-11-23,29,2,3,10,14,0,0,6,0,0
Bulunga,2025-11-30,29,2,3,10,14,0,0,5,0,0
Bulunga,2025-12-07,28,1,3,15,9,0,0,7,0,0
Bulunga,2025-12-14,158,8,30,100,20,30,0,3,360,0
Bulunga,2025-12-21,22,1,1,7,13,0,0,5,240,0
Bulunga,2025-12-28,14,2,2,5,5,0,6,0,140,0
Bulunga,2026-01-04,38,2,3,18,15,5,0,8,0,0
Bulunga,2026-01-11,13,1,1,7,4,0,0,6,0,0
Bulunga,2026-01-18,31,1,3,10,17,6,0,4,0,0
Bulunga,2026-01-25,41,1,3,18,19,6,0,7,0,0
Bulunga,2026-02-01,22,2,4,10,6,0,0,6,0,0
Bulunga,2026-02-08,33,1,2,17,13,0,0,5,0,0
Bulunga,2026-02-15,85,5,8,42,30,0,0,4,0,0
Bulunga,2026-02-22,21,2,4,7,8,0,0,6,144,0
Bulunga,2026-03-01,20,2,2,8,8,0,0,4,0,0
Bulunga,2026-03-08,29,2,2,13,12,2,0,0,144,0
Bulunga,2026-03-15,20,2,2,9,7,0,0,5,72,0
Bulunga,2026-03-22,68,5,8,23,32,0,0,2,36,0
Bulunga,2026-04-12,49,2,3,23,21,0,0,2,4,0
Bulunga,2026-04-19,31,1,1,16,13,6,0,4,0,0
Bulunga,2026-04-26,34,1,4,11,18,0,0,6,0,0
Bulunga,2026-05-03,22,1,2,10,9,0,0,4,0,0
Bulunga,2026-05-10,23,1,3,7,12,0,0,4,0,0
Bulunga,2026-05-17,40,2,5,17,16,0,0,5,0,0
Engcamini,2021-11-07,69,5,14,11,39,0,0,0,0,9
Engcamini,2021-11-14,66,4,11,6,45,0,0,0,0,0
Engcamini,2021-11-21,62,8,6,5,43,0,0,0,0,0
Engcamini,2021-11-28,51,7,10,8,26,0,0,0,0,0
Engcamini,2021-12-05,65,1,8,6,50,0,0,0,0,0
Engcamini,2021-12-12,92,6,8,17,61,0,0,0,0,0
Engcamini,2021-12-19,48,7,13,28,0,4,0,0,180,0
Engcamini,2021-12-26,31,3,8,11,9,0,0,0,72,0
Engcamini,2022-01-01,45,5,9,13,18,0,0,0,0,0
Engcamini,2022-01-02,22,6,4,5,7,0,0,0,87,0
Engcamini,2022-01-08,106,10,15,20,61,4,9,0,144,0
Engcamini,2022-01-09,51,4,9,4,34,0,0,0,144,0
Engcamini,2022-01-15,88,6,8,8,66,0,0,0,144,0
Engcamini,2022-01-16,48,4,9,7,28,0,0,0,180,0
Engcamini,2022-01-22,68,6,7,7,48,0,0,0,96,0
Engcamini,2022-01-23,24,4,6,5,9,0,0,0,144,0
Engcamini,2022-01-29,84,7,5,12,60,0,0,0,0,0
Engcamini,2022-01-30,46,6,9,8,23,0,0,0,144,0
Engcamini,2022-02-05,97,6,12,7,72,3,0,0,252,0
Engcamini,2022-02-06,48,4,11,4,29,0,0,0,86,0
Engcamini,2022-02-12,109,9,15,18,67,1,0,0,72,0
Engcamini,2022-02-13,59,8,10,8,33,0,0,2,0,33
Engcamini,2022-02-19,120,10,12,16,82,4,0,0,60,0
Engcamini,2022-02-20,62,7,12,10,33,0,0,1,35,0
Engcamini,2022-02-26,53,6,5,9,33,0,0,0,0,0
Engcamini,2022-02-27,93,12,10,18,53,0,2,0,180,0
Engcamini,2022-03-05,98,8,12,11,67,3,0,0,136,0
Engcamini,2022-03-06,73,6,13,20,34,0,0,0,288,45
Engcamini,2022-03-12,97,11,10,15,61,1,0,0,144,0
Engcamini,2022-03-13,48,3,9,5,31,0,0,0,130,45
Engcamini,2022-03-19,112,9,14,15,74,0,0,0,72,0
Engcamini,2022-03-20,46,2,10,8,26,0,0,0,216,45
Engcamini,2022-03-26,153,15,20,20,98,2,0,0,36,0
Engcamini,2022-03-27,65,10,16,16,23,0,0,0,396,45
Engcamini,2022-04-02,145,11,13,17,104,0,0,0,0,0
Engcamini,2022-04-03,42,4,10,6,22,0,0,0,144,0
Engcamini,2022-04-09,104,9,10,9,76,0,0,0,0,0
Engcamini,2022-04-10,25,3,7,3,12,0,0,0,30,0
Engcamini,2022-04-16,68,7,7,15,39,2,0,0,0,0
Engcamini,2022-04-17,21,3,5,5,8,0,0,0,0,0
Engcamini,2022-04-23,101,8,15,19,59,1,0,0,0,0
Engcamini,2022-04-24,77,6,17,19,35,0,0,0,0,0
Engcamini,2022-04-30,93,8,9,20,56,6,0,0,0,0
Engcamini,2022-05-01,78,3,13,19,43,0,0,0,144,0
Engcamini,2022-05-08,78,5,9,14,50,0,0,0,180,0
Engcamini,2022-05-15,82,6,9,14,53,0,0,0,144,0
Engcamini,2022-05-22,85,5,13,12,55,1,0,0,90,0
Engcamini,2022-06-05,101,5,10,21,65,0,0,0,108,0
Engcamini,2022-06-12,153,10,25,43,75,0,0,0,180,0
Engcamini,2022-06-19,99,5,11,8,75,0,0,0,216,0
Engcamini,2022-06-26,98,7,15,13,63,0,0,0,180,0
Engcamini,2022-07-02,81,12,14,11,44,0,0,0,0,0
Engcamini,2022-07-03,114,6,12,19,77,4,0,0,72,0
Engcamini,2022-07-09,148,23,28,36,61,0,0,0,0,0
Engcamini,2022-07-10,109,6,11,16,76,0,0,0,36,0
Engcamini,2022-07-16,81,15,11,9,46,0,0,0,144,0
Engcamini,2022-07-17,128,9,17,17,85,0,0,0,288,0
Engcamini,2022-07-23,102,10,12,15,65,0,0,0,360,0
Engcamini,2022-07-24,110,5,14,15,76,0,0,0,144,0
Engcamini,2022-07-30,107,11,10,7,79,0,0,0,30,0
Engcamini,2022-07-31,107,9,13,12,73,0,0,0,0,0
Engcamini,2022-08-06,34,5,3,9,17,0,0,0,0,0
Engcamini,2022-08-07,72,7,9,15,41,15,0,6,0,0
Engcamini,2022-08-13,102,10,12,15,65,0,0,0,360,0
Engcamini,2022-08-14,117,7,12,14,84,0,0,0,108,0
Engcamini,2022-08-21,176,9,19,32,116,0,0,0,216,0
Engcamini,2022-08-27,120,11,11,13,85,0,0,0,144,0
Engcamini,2022-08-28,112,8,12,18,74,0,0,0,108,0
Engcamini,2022-09-04,138,8,8,29,93,0,0,0,12,0
Engcamini,2022-09-11,107,9,11,6,81,0,0,0,8,0
Engcamini,2022-09-18,99,7,11,7,74,0,0,0,0,0
Engcamini,2022-09-25,101,5,10,15,71,0,0,0,108,0
Engcamini,2022-10-02,126,6,9,11,100,0,0,0,144,0
Engcamini,2022-10-09,129,6,13,15,95,0,0,0,108,0
Engcamini,2022-10-16,138,10,13,0,115,0,6,0,10,0
Engcamini,2022-10-23,155,8,11,11,125,0,0,0,0,0
Engcamini,2022-10-30,96,8,7,9,72,0,0,0,0,0
Engcamini,2022-11-06,169,9,16,32,112,0,0,0,0,0
Engcamini,2022-11-13,130,6,10,15,99,2,0,0,360,0
Engcamini,2022-11-20,112,8,8,7,89,1,0,0,0,0
Engcamini,2022-11-27,74,5,5,9,55,0,0,0,0,0
Engcamini,2022-12-04,106,6,12,13,75,0,0,0,108,0
Engcamini,2022-12-11,104,8,10,14,72,0,0,0,144,0
Engcamini,2022-12-18,46,6,8,16,16,0,0,0,216,0
Engcamini,2022-12-25,113,7,10,16,80,0,0,0,110,0
Engcamini,2023-01-01,45,5,9,13,18,0,0,0,0,0
Engcamini,2023-01-08,106,10,15,20,61,4,9,0,144,0
Engcamini,2023-01-15,88,6,8,8,66,0,0,0,144,0
Engcamini,2023-01-22,68,6,7,7,48,0,0,0,96,0
Engcamini,2023-01-29,84,7,5,12,60,0,0,0,0,0
Engcamini,2023-02-05,97,6,12,7,72,3,0,0,252,0
Engcamini,2023-02-12,109,9,15,18,67,1,0,0,72,0
Engcamini,2023-02-19,120,10,12,16,82,4,0,0,60,0
Engcamini,2023-02-26,53,6,5,9,33,0,0,0,0,0
Engcamini,2023-03-05,98,8,12,11,67,3,0,0,136,0
Engcamini,2023-03-12,97,11,10,15,61,1,0,0,144,0
Engcamini,2023-03-19,112,9,14,15,74,0,0,0,72,0
Engcamini,2023-03-26,153,15,20,20,98,2,0,0,36,0
Engcamini,2023-04-02,145,11,13,17,104,0,0,0,0,0
Engcamini,2023-04-09,104,9,10,9,76,0,0,0,0,0
Engcamini,2023-04-16,68,7,7,15,39,2,0,0,0,0
Engcamini,2023-04-23,101,8,15,19,59,1,0,0,0,0
Engcamini,2023-04-30,93,8,9,20,56,6,0,0,0,0
Engcamini,2023-05-07,98,9,11,18,60,0,0,0,396,0
Engcamini,2023-05-14,74,10,12,8,44,0,12,0,144,0
Engcamini,2023-05-21,97,8,15,18,56,0,0,0,180,0
Engcamini,2023-05-28,86,13,9,10,54,3,0,0,144,0
Engcamini,2023-06-04,480,50,250,130,50,0,0,0,0,0
Engcamini,2023-06-11,64,9,8,8,39,5,0,0,324,0
Engcamini,2023-06-18,74,11,13,7,43,0,0,0,144,0
Engcamini,2023-06-25,86,7,8,15,56,0,0,0,0,0
Engcamini,2023-07-02,81,12,14,11,44,0,0,0,0,0
Engcamini,2023-07-09,148,23,28,36,61,0,0,0,0,0
Engcamini,2023-07-16,81,15,11,9,46,0,0,0,144,0
Engcamini,2023-07-23,108,12,9,11,76,0,0,0,144,0
Engcamini,2023-07-30,107,11,10,7,79,0,0,0,30,0
Engcamini,2023-08-06,34,5,3,9,17,0,0,0,0,0
Engcamini,2023-08-13,102,10,12,15,65,0,0,0,360,0
Engcamini,2023-08-20,1200,400,500,200,100,0,0,0,0,0
Engcamini,2023-08-27,120,11,11,13,85,0,0,0,144,0
Engcamini,2023-09-03,80,11,8,10,51,7,18,0,252,0
Engcamini,2023-09-10,96,11,16,15,54,2,0,0,144,0
Engcamini,2023-09-17,114,11,14,18,71,0,0,0,72,0
Engcamini,2023-09-24,159,11,11,32,105,0,0,0,144,0
Engcamini,2023-10-01,161,14,14,20,113,0,0,0,0,0
Engcamini,2023-10-08,254,14,115,21,104,0,0,0,324,0
Engcamini,2023-10-15,181,14,16,26,125,4,0,0,72,0
Engcamini,2023-10-22,171,11,11,27,122,0,0,0,0,0
Engcamini,2023-10-29,104,7,6,19,72,0,0,0,360,0
Engcamini,2023-11-05,222,13,16,49,144,7,0,0,0,0
Engcamini,2023-11-12,160,13,14,32,101,0,0,0,0,0
Engcamini,2024-02-02,109,3,13,21,72,7,0,3,0,0
Engcamini,2024-02-09,143,2,14,18,109,17,0,2,143,0
Engcamini,2024-02-16,205,7,19,34,145,21,0,13,8,0
Engcamini,2024-05-05,40,10,10,10,10,0,0,0,0,0
Engcamini,2024-05-12,98,6,16,25,51,13,0,0,0,0
Engcamini,2024-05-19,85,5,16,16,48,0,0,0,0,0
Engcamini,2024-05-26,83,5,14,11,53,10,0,0,83,18
Engcamini,2024-06-02,84,3,9,10,62,4,0,0,18,0
Engcamini,2024-06-09,76,2,11,10,53,14,0,0,10,0
Engcamini,2024-06-16,71,2,7,7,55,44,0,0,85,0
Engcamini,2024-06-23,100,1,11,6,82,34,0,5,72,0
Engcamini,2024-06-30,92,5,14,14,59,17,0,0,324,0
Engcamini,2024-07-07,104,3,14,20,67,19,0,0,180,0
Engcamini,2024-07-14,87,3,12,11,61,0,0,0,216,0
Engcamini,2024-07-21,114,4,13,11,86,14,0,2,140,0
Engcamini,2024-07-28,112,2,9,9,92,5,0,0,108,0
Engcamini,2024-08-04,55,4,7,7,37,5,0,0,180,0
Engcamini,2024-08-11,79,3,14,7,55,6,0,1,90,0
Engcamini,2024-08-18,100,6,11,15,68,5,0,2,125,0
Engcamini,2024-08-25,107,3,14,15,75,11,0,0,288,0
Engcamini,2024-09-01,95,3,15,9,68,0,0,0,0,0
Engcamini,2024-09-08,103,3,13,10,77,6,0,2,120,0
Engcamini,2024-09-15,89,4,9,14,62,0,0,2,320,0
Engcamini,2024-09-22,79,3,10,4,62,15,0,0,0,0
Engcamini,2024-09-29,105,3,12,11,79,8,0,2,0,0
Engcamini,2024-10-06,112,3,12,7,90,0,0,2,112,0
Engcamini,2024-10-13,71,1,4,8,58,0,0,2,0,0
Engcamini,2024-10-20,94,3,8,15,68,15,0,2,0,0
Engcamini,2024-10-27,130,5,16,7,102,0,0,3,0,0
Engcamini,2024-11-03,114,3,15,13,83,17,0,5,0,0
